k	new-k	old cost	cost	clusterScore	ngramCntAll	ngramCntChv	ngramCntChvTest	RC5	RC10	RC15	RC20	RC25	RC30	RC35	RC40	RC45	RC50	RC55	RC60	RC65	RC70	RC75	RC80	RC85	RC90	RC95	RC100	RC105	RC110	RC115	RC120	RC125	RC130	RC135	RC140	RC145	RC150	RC155	RC160	RC165	RC170	RC175	RC180	RC185	RC190	RC195	RC200	PC5	PC10	PC15	PC20	PC25	PC30	PC35	PC40	PC45	PC50	PC55	PC60	PC65	PC70	PC75	PC80	PC85	PC90	PC95	PC100	PC105	PC110	PC115	PC120	PC125	PC130	PC135	PC140	PC145	PC150	PC155	PC160	PC165	PC170	PC175	PC180	PC185	PC190	PC195	PC200	FS5	FS10	FS15	FS20	FS25	FS30	FS35	FS40	FS45	FS50	FS55	FS60	FS65	FS70	FS75	FS80	FS85	FS90	FS95	FS100	FS105	FS110	FS115	FS120	FS125	FS130	FS135	FS140	FS145	FS150	FS155	FS160	FS165	FS170	FS175	FS180	FS185	FS190	FS195	FS200	recallMax	precisionMax	fscoreMax	umlsPrecisionMax
130	93.6	4336.03	4545.76	0	28780	7285	2195.3	1.484	2.893	4.283	5.549	6.796	8.02	9.219	10.465	11.628	12.784	13.973	15.253	16.356	17.449	18.553	19.645	20.697	21.703	22.562	23.343	24.053	24.733	25.313	25.843	26.382	26.914	27.38	27.81	28.322	28.779	29.216	29.68	30.147	30.602	30.998	31.421	31.818	32.217	32.633	32.988	65.2	63.5	62.666	60.9	59.68	58.668	57.8	57.425	56.711	56.12	55.764	55.799	55.232	54.715	54.292	53.9	53.434	52.921	52.117	51.23	50.277	49.354	48.272	47.275	46.328	45.446	44.519	43.608	42.876	42.113	41.374	40.722	40.104	39.513	38.879	38.316	37.752	37.221	36.734	36.205	0.068	0.122	0.168	0.204	0.235	0.261	0.281	0.302	0.319	0.336	0.348	0.366	0.374	0.383	0.39	0.4	0.406	0.411	0.413	0.414	0.414	0.411	0.408	0.406	0.402	0.399	0.395	0.393	0.387	0.385	0.383	0.379	0.375	0.373	0.369	0.367	0.363	0.362	0.359	0.354	32.988	66.667	0.416	45.865
140	97.6	4234.15	4471.11	0	28780	7285	2195.3	1.399	2.832	4.17	5.491	6.811	8.128	9.326	10.588	11.848	13.114	14.261	15.403	16.61	17.781	18.965	19.926	21.001	21.992	22.992	23.772	24.594	25.278	25.955	26.566	27.089	27.633	28.115	28.547	29.045	29.544	29.988	30.46	30.95	31.329	31.662	32.005	32.432	32.805	33.136	33.576	61.4	62.1	60.999	60.25	59.8	59.467	58.485	58.1	57.777	57.56	56.89	56.334	56.076	55.744	55.493	54.663	54.224	53.623	53.115	52.17	51.408	50.437	49.496	48.591	47.568	46.654	45.711	44.758	43.965	43.232	42.465	41.782	41.169	40.448	39.709	39.022	38.476	37.896	37.292	36.845	0.063	0.12	0.164	0.201	0.232	0.264	0.284	0.307	0.326	0.343	0.357	0.369	0.38	0.391	0.4	0.405	0.413	0.415	0.421	0.421	0.422	0.42	0.418	0.417	0.414	0.409	0.407	0.401	0.399	0.396	0.393	0.39	0.387	0.381	0.378	0.373	0.371	0.368	0.364	0.362	33.576	64.51	0.423	46.085
150	100.9	4168.62	4439.62	0	28780	7285	2195.3	1.467	2.824	4.205	5.462	6.879	8.124	9.404	10.582	11.827	13.048	14.279	15.391	16.535	17.638	18.797	19.852	20.883	21.944	22.816	23.726	24.575	25.427	26.137	26.714	27.293	27.786	28.283	28.76	29.28	29.683	30.116	30.634	31.072	31.449	31.856	32.294	32.696	33.051	33.389	33.79	64.4	62	61.533	59.95	60.4	59.434	58.972	58.075	57.687	57.28	56.983	56.301	55.832	55.299	55	54.462	53.918	53.513	52.705	52.07	51.364	50.726	49.835	48.859	47.92	46.909	45.977	45.086	44.316	43.433	42.646	42.021	41.327	40.599	39.949	39.373	38.783	38.173	37.575	37.075	0.068	0.12	0.165	0.201	0.236	0.262	0.287	0.305	0.326	0.341	0.356	0.368	0.378	0.389	0.396	0.405	0.409	0.416	0.418	0.421	0.422	0.423	0.42	0.419	0.416	0.413	0.408	0.406	0.404	0.397	0.394	0.391	0.39	0.383	0.381	0.378	0.373	0.37	0.368	0.364	33.79	65.5	0.424	46.216
160	107.1	4070.61	4353.56	0	28780	7285	2195.3	1.45	2.786	4.166	5.549	6.879	8.218	9.598	10.783	12.033	13.265	14.376	15.623	16.648	17.741	18.889	19.973	21.02	22.032	22.94	23.84	24.776	25.53	26.206	26.812	27.32	27.854	28.382	28.864	29.365	29.758	30.2	30.603	31.027	31.446	31.856	32.28	32.714	33.083	33.571	33.95	63.6	61.1	60.933	60.9	60.4	60.132	60.2	59.175	58.688	58.22	57.365	57.149	56.216	55.629	55.281	54.801	54.283	53.733	53.01	52.34	51.8	50.955	49.99	49.058	47.992	47.046	46.163	45.271	44.468	43.561	42.78	41.996	41.286	40.611	39.964	39.372	38.822	38.225	37.796	37.265	0.066	0.12	0.163	0.203	0.234	0.265	0.293	0.312	0.328	0.349	0.359	0.374	0.382	0.39	0.398	0.406	0.413	0.417	0.42	0.424	0.426	0.425	0.422	0.42	0.416	0.415	0.41	0.407	0.405	0.399	0.395	0.389	0.388	0.385	0.379	0.378	0.373	0.371	0.371	0.364	33.95	66.62	0.428	46.536
170	110.3	4002.7	4330.19	0	28780	7285	2195.3	1.446	2.845	4.133	5.583	6.913	8.258	9.553	10.795	12.02	13.263	14.411	15.572	16.741	17.847	18.977	20.002	21.058	22.054	22.976	23.917	24.749	25.529	26.312	27.04	27.64	28.213	28.72	29.2	29.69	30.156	30.543	30.945	31.394	31.891	32.331	32.765	33.179	33.549	33.957	34.318	63.4	62.4	60.466	61.25	60.68	60.4	59.913	59.225	58.622	58.22	57.509	56.966	56.525	55.957	55.533	54.874	54.377	53.789	53.084	52.5	51.744	50.945	50.182	49.467	48.544	47.648	46.703	45.785	44.952	44.132	43.259	42.457	41.77	41.183	40.56	39.962	39.374	38.763	38.231	37.67	0.066	0.12	0.163	0.205	0.236	0.267	0.294	0.312	0.33	0.348	0.359	0.371	0.383	0.391	0.402	0.407	0.412	0.418	0.419	0.423	0.426	0.425	0.423	0.425	0.422	0.42	0.415	0.412	0.408	0.405	0.399	0.395	0.391	0.389	0.386	0.382	0.379	0.377	0.372	0.369	34.318	65.437	0.428	46.003
180	112	3940.15	4300.9	0	28780	7285	2195.3	1.481	2.847	4.16	5.478	6.822	8.139	9.398	10.652	11.839	13.175	14.44	15.588	16.699	17.811	18.929	19.976	20.96	21.999	22.847	23.799	24.659	25.346	25.971	26.604	27.197	27.761	28.279	28.739	29.218	29.632	30.047	30.508	30.947	31.37	31.839	32.283	32.722	33.156	33.516	33.839	65	62.5	60.866	60.1	59.88	59.533	58.914	58.425	57.732	57.82	57.62	57.015	56.386	55.843	55.387	54.804	54.117	53.643	52.78	52.23	51.544	50.571	49.521	48.659	47.752	46.87	45.971	45.051	44.221	43.354	42.541	41.844	41.163	40.494	39.926	39.357	38.817	38.294	37.718	37.13	0.069	0.119	0.164	0.2	0.234	0.262	0.287	0.307	0.324	0.345	0.359	0.372	0.383	0.39	0.401	0.406	0.411	0.418	0.419	0.422	0.423	0.422	0.419	0.418	0.414	0.414	0.408	0.404	0.4	0.396	0.393	0.388	0.387	0.382	0.38	0.378	0.374	0.372	0.369	0.364	33.839	66.666	0.423	45.644
190	114	3878.05	4276.2	0	28780	7285	2195.3	1.412	2.735	4.168	5.547	6.9	8.272	9.48	10.735	11.917	13.113	14.392	15.572	16.638	17.75	18.84	19.937	20.927	21.947	22.932	23.982	24.923	25.669	26.409	27.141	27.756	28.233	28.769	29.348	29.772	30.23	30.718	31.141	31.583	31.962	32.342	32.737	33.193	33.56	33.933	34.266	62	60	60.999	60.85	60.56	60.5	59.43	58.875	58.111	57.54	57.417	56.95	56.169	55.643	55.121	54.688	54.025	53.513	52.967	52.63	52.095	51.218	50.356	49.641	48.736	47.662	46.769	46.008	45.061	44.235	43.495	42.722	42.013	41.265	40.559	39.915	39.377	38.768	38.195	37.605	0.066	0.116	0.162	0.202	0.238	0.266	0.289	0.31	0.327	0.343	0.36	0.372	0.381	0.391	0.399	0.406	0.409	0.415	0.419	0.422	0.428	0.426	0.427	0.425	0.424	0.418	0.416	0.414	0.408	0.405	0.401	0.396	0.393	0.39	0.386	0.383	0.379	0.377	0.371	0.368	34.266	66.4	0.429	47.627
200	116.2	3831.31	4265.71	0	28780	7285	2195.3	1.457	2.832	4.167	5.46	6.862	8.178	9.485	10.733	11.962	13.224	14.472	15.609	16.703	17.833	18.897	19.982	20.986	21.952	22.889	23.715	24.521	25.319	26.047	26.73	27.417	27.988	28.477	28.943	29.527	30.009	30.386	30.794	31.318	31.731	32.097	32.495	32.855	33.269	33.615	34.015	64	62.2	60.999	59.9	60.24	59.832	59.485	58.9	58.333	58.04	57.729	57.082	56.383	55.9	55.295	54.813	54.19	53.534	52.873	52.04	51.246	50.51	49.66	48.881	48.136	47.248	46.296	45.372	44.69	43.908	43.026	42.238	41.654	40.964	40.256	39.622	38.978	38.433	37.835	37.33	0.066	0.117	0.164	0.201	0.235	0.262	0.29	0.311	0.329	0.345	0.361	0.372	0.382	0.391	0.397	0.407	0.412	0.415	0.42	0.42	0.42	0.42	0.421	0.42	0.416	0.416	0.412	0.406	0.406	0.402	0.398	0.392	0.39	0.388	0.383	0.38	0.374	0.372	0.37	0.366	34.015	66.254	0.426	45.904
210	120.9	3751.19	4196.1	0	28780	7285	2195.3	1.471	2.837	4.147	5.472	6.858	8.277	9.528	10.791	12.033	13.173	14.376	15.517	16.738	17.984	19.018	20.118	21.193	22.225	23.374	24.226	25.081	25.977	26.823	27.465	28.189	28.76	29.292	29.874	30.348	30.809	31.226	31.656	32.094	32.537	32.978	33.323	33.693	34.016	34.385	34.762	64.6	62.2	60.667	60.05	60.2	60.533	59.743	59.225	58.69	57.82	57.364	56.767	56.523	56.385	55.653	55.187	54.717	54.199	54	53.17	52.427	51.837	51.155	50.242	49.504	48.562	47.629	46.843	45.945	45.084	44.226	43.434	42.698	42.012	41.366	40.641	39.978	39.299	38.709	38.155	0.068	0.119	0.162	0.199	0.236	0.268	0.291	0.312	0.33	0.346	0.36	0.371	0.383	0.395	0.399	0.41	0.415	0.421	0.428	0.43	0.43	0.432	0.435	0.431	0.431	0.427	0.422	0.421	0.417	0.412	0.408	0.404	0.399	0.396	0.395	0.389	0.387	0.382	0.377	0.374	34.762	66.767	0.435	46.542
220	120.1	3709.16	4218.14	0	28780	7285	2195.3	1.492	2.83	4.274	5.618	7.001	8.293	9.541	10.838	12.076	13.286	14.442	15.659	16.835	17.955	19.11	20.18	21.214	22.248	23.237	24.189	25.146	25.997	26.744	27.431	28.069	28.706	29.252	29.752	30.13	30.585	30.988	31.507	31.993	32.511	32.921	33.377	33.733	34.135	34.603	35.068	65.6	62.1	62.533	61.6	61.44	60.668	59.83	59.45	58.889	58.3	57.619	57.267	56.831	56.287	55.906	55.351	54.766	54.244	53.675	53.08	52.554	51.863	50.991	50.169	49.28	48.46	47.556	46.644	45.606	44.753	43.879	43.221	42.557	41.97	41.286	40.694	40.017	39.425	38.945	38.48	0.068	0.118	0.168	0.206	0.24	0.267	0.292	0.313	0.331	0.347	0.36	0.373	0.387	0.395	0.402	0.412	0.415	0.422	0.426	0.428	0.43	0.432	0.431	0.432	0.429	0.426	0.423	0.419	0.415	0.409	0.406	0.403	0.399	0.396	0.393	0.39	0.386	0.383	0.38	0.378	35.068	66.483	0.436	45.219
